date,last,open,high,low,volume,change_percent
2025-05-02,16435.0,16615.0,16615.0,16424.5,,-0.99
2025-05-05,16435.0,16410.0,16460.0,16375.0,,0.0
2025-05-06,16450.0,16465.0,16492.5,16435.0,,0.09
2025-05-07,16535.0,16470.0,16545.0,16465.0,,0.52
2025-05-08,16494.0,16550.0,16577.5,16432.5,,-0.25
2025-05-09,16515.0,16537.5,16565.0,16500.0,,0.13
2025-05-12,16515.0,16515.0,16515.0,16515.0,,0.0
2025-05-13,16515.0,16515.0,16515.0,16515.0,,0.0
2025-05-14,16550.0,16560.0,16592.5,16536.5,,0.21
2025-05-15,16515.0,16555.0,16572.5,16502.5,,-0.21
2025-05-16,16440.0,16470.0,16495.0,16392.5,,-0.45
2025-05-19,16430.0,16465.0,16480.0,16425.0,,-0.06
2025-05-20,16415.0,16420.0,16429.0,16380.0,,-0.09
2025-05-21,16395.0,16412.5,16425.0,16357.5,,-0.12
2025-05-22,16330.0,16332.5,16342.5,16285.0,,-0.4
2025-05-23,16217.5,16320.0,16330.5,16215.0,,-0.69
2025-05-26,16240.0,16185.0,16245.0,16155.0,,0.14
2025-05-27,16272.5,16245.0,16281.0,16225.0,,0.2
2025-05-28,16290.0,16287.5,16312.5,16275.0,,0.11
2025-05-29,16290.0,16290.0,16290.0,16290.0,,0.0
2025-05-30,16290.0,16290.0,16290.0,16290.0,,0.0
2025-06-02,16245.0,16320.0,16337.5,16245.0,,-0.28
2025-06-03,16285.0,16275.0,16312.5,16257.0,,0.25
2025-06-04,16290.0,16302.5,16317.5,16287.0,,0.03
2025-06-05,16275.0,16275.0,16292.5,16257.5,,-0.09
2025-06-06,16275.0,16275.0,16275.0,16275.0,,0.0
2025-06-09,16275.0,16275.0,16275.0,16275.0,,0.0
2025-06-10,16270.0,16270.0,16290.0,16259.5,,-0.03
2025-06-11,16255.0,16270.0,16272.5,16254.5,,-0.09
2025-06-12,16235.0,16245.0,16257.5,16215.0,,-0.12
2025-06-13,16295.0,16265.0,16312.5,16257.5,,0.37
2025-06-16,16265.0,16307.5,16317.5,16264.5,,-0.18
2025-06-17,16280.0,16297.5,16307.5,16259.5,,0.09
2025-06-18,16300.0,16310.0,16330.0,16295.0,,0.12
2025-06-19,16395.0,16350.0,16412.5,16342.0,,0.58
2025-06-20,16385.0,16372.5,16412.5,16362.5,,-0.06
2025-06-23,16485.0,16355.0,16497.5,16355.0,,0.61
2025-06-24,16350.0,16375.0,16397.5,16340.0,,-0.82
2025-06-25,16290.0,16272.5,16302.5,16255.0,,-0.37
2025-06-26,16204.0,16295.0,16295.0,16192.5,,-0.53
2025-06-27,16204.0,16204.0,16204.0,16204.0,,0.0
2025-06-30,16235.0,16212.5,16257.5,16190.0,,0.19
2025-07-01,16190.0,16170.0,16214.0,16162.5,,-0.28
2025-07-02,16240.0,16202.5,16248.5,16200.0,,0.31
2025-07-03,16190.0,16205.0,16225.0,16187.5,,-0.31
2025-07-04,16185.0,16222.5,16237.5,16175.0,,-0.03
2025-07-07,16230.0,16210.0,16244.0,16207.5,,0.28
2025-07-08,16205.0,16270.0,16277.5,16205.0,,-0.15
2025-07-09,16242.5,16250.0,16265.0,16235.0,,0.23
2025-07-10,16220.0,16245.0,16245.0,16205.0,,-0.14
2025-07-11,16210.0,16227.5,16235.0,16209.0,,-0.06
2025-07-14,16245.0,16225.0,16262.0,16220.0,,0.22
2025-07-15,16260.0,16267.5,16296.0,16255.0,,0.09
2025-07-16,16270.0,16265.0,16297.5,16247.5,,0.06
2025-07-17,16330.0,16290.0,16342.5,16285.0,,0.37
2025-07-18,16290.0,16325.0,16325.0,16287.0,,-0.24
2025-07-21,16310.0,16315.0,16339.0,16305.0,,0.12
2025-07-22,16310.0,16312.5,16320.0,16288.5,,0.0
2025-07-23,16290.0,16275.0,16306.5,16267.5,,-0.12
2025-07-24,16285.0,16270.0,16295.5,16257.5,,-0.03
2025-07-25,16315.0,16327.5,16336.0,16310.0,,0.18
2025-07-28,16340.0,16325.0,16355.0,16320.0,,0.15
2025-07-29,16394.5,16375.0,16411.5,16372.5,,0.33
2025-07-30,16390.0,16362.5,16400.5,16360.0,,-0.03
2025-07-31,16455.0,16437.5,16466.0,16430.0,,0.4
2025-08-01,16490.0,16512.5,16515.0,16476.5,,0.21
2025-08-04,16390.0,16425.0,16425.0,16372.5,,-0.61
2025-08-05,16380.0,16370.0,16396.5,16362.5,,-0.06
2025-08-06,16360.0,16390.0,16395.0,16359.0,,-0.12
2025-08-07,16290.0,16325.0,16337.5,16285.0,,-0.43
2025-08-08,16290.0,16305.0,16332.5,16275.0,,0.0
2025-08-11,16270.0,16252.5,16278.5,16230.0,,-0.12
2025-08-12,16285.0,16280.0,16349.0,16277.5,,0.09
2025-08-13,16194.0,16260.0,16270.0,16193.5,,-0.56
2025-08-14,16110.5,16110.0,16130.0,16085.0,,-0.52
2025-08-15,16160.0,16150.0,16171.5,16139.5,,0.31
2025-08-18,16160.0,16160.0,16160.0,16160.0,,0.0
2025-08-19,16240.0,16220.0,16291.5,16215.0,,0.5
2025-08-20,16267.5,16290.0,16322.5,16265.0,,0.17
2025-08-21,16285.0,16270.0,16295.0,16267.0,,0.11
2025-08-22,16340.0,16322.5,16361.0,16310.0,,0.34
2025-08-25,16254.5,16245.0,16267.5,16236.5,,-0.52
2025-08-26,16294.5,16265.0,16305.0,16254.0,,0.25
2025-08-27,16360.0,16320.0,16372.5,16315.0,,0.4
2025-08-28,16345.0,16355.0,16379.0,16330.0,,-0.09
2025-08-29,16490.0,16350.0,16500.0,16350.0,,0.89
2025-09-01,16415.0,16475.0,16502.5,16410.0,,-0.45
2025-09-02,16400.0,16430.0,16450.0,16387.5,,-0.09
2025-09-03,16414.5,16435.0,16445.0,16410.0,,0.09
2025-09-04,16420.0,16445.0,16457.5,16417.5,,0.03
2025-09-05,16420.0,16420.0,16420.0,16420.0,,0.0
2025-09-08,16304.0,16385.0,16392.5,16294.0,,-0.71
2025-09-09,16475.0,16460.0,16502.5,16410.0,,1.05
2025-09-10,16460.0,16467.5,16477.5,16439.0,,-0.09
2025-09-11,16460.0,16450.0,16476.5,16437.5,,0.0
2025-09-12,16377.5,16422.5,16437.5,16370.0,,-0.5
2025-09-15,16410.0,16418.5,16436.0,16385.0,,0.2
2025-09-16,16440.0,16385.0,16445.0,16360.5,,0.18
2025-09-17,16430.0,16415.0,16450.0,16406.5,,-0.06
2025-09-18,16505.0,16455.0,16525.0,16455.0,,0.46
2025-09-19,16590.0,16565.0,16590.0,16548.5,,0.51
2025-09-22,16605.0,16625.0,16642.5,16578.5,,0.09
2025-09-23,16665.0,16585.0,16672.5,16582.5,,0.36
2025-09-24,16675.0,16685.0,16695.0,16660.0,,0.06
2025-09-25,16740.0,16715.0,16766.0,16700.0,,0.39
2025-09-26,16730.0,16770.0,16800.0,16727.5,,-0.06
2025-09-29,16670.0,16660.0,16687.5,16640.0,,-0.36
2025-09-30,16665.0,16675.0,16700.0,16660.0,,-0.03
2025-10-01,16605.0,16660.0,16705.5,16605.0,,-0.36
2025-10-02,16585.0,16597.5,16622.5,16582.5,,-0.12
2025-10-03,16535.0,16615.0,16630.0,16529.0,,-0.3
2025-10-06,16550.0,16557.5,16610.0,16542.5,,0.09
